EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
2.1.3.9,78,105,176,125,2889,325,232,403,44,142,320,120,328,120,166,269
2.1.4.1,82,686,113,213,85,382,627,401,160,91,477,492,84,82,273,178
2.10.1.1,9,0,21,1,0,0,16,14,129,4,24,102,8,2,56,1
2.2.1.1,5385,12829,10131,13624,10883,12374,9064,12647,4695,4889,9818,7635,9437,2564,16120,20928
2.2.1.10,101,19,23,80,132,119,26,637,231,2,2,745,435,44,513,217
2.2.1.11,13,4,12,3,11,4,20,14,4,3,9,8,2,5,28,10
2.2.1.2,507,805,4602,798,1827,1277,670,2141,935,539,2712,804,701,230,858,926
2.2.1.6,983,2779,1957,2201,1147,1953,2021,3252,1603,1345,2285,1897,1109,325,2595,2767
2.2.1.7,543,3356,646,1110,11558,3432,20454,10848,667,2012,3028,1410,7889,7380,6808,5284
2.2.1.9,37,698,87,75,4261,386,63,256,17,70,116,26,47,22,68,178
2.3.1.-,3371,8119,7297,9411,5447,8909,8651,21339,6670,4723,6662,4992,5795,819,6485,10184
2.3.1.1,1527,1560,1313,1787,746,667,965,860,3679,1513,1714,1277,477,141,610,914
2.3.1.117,122,4277,204,559,33,6759,190,88,48,163,441,79,1125,47,110,524
2.3.1.12,82,216,308,105,39,366,176,95,36,65,54,116,83,977,16,1619
2.3.1.129,337,1313,339,885,555,1290,293,248,144,266,945,195,660,175,1108,939
2.3.1.157,204,148,274,101,303,234,79,231,271,103,176,346,2358,8,1391,203
2.3.1.16,9,11,66,17,3,30,53,114,28,8,117,4,9,10,15,1
2.3.1.169,1166,3624,7765,4289,394,1173,886,806,1594,512,1727,8364,5559,139,2267,707
2.3.1.174,50,8,39,8,3,0,2,5,2,4,2,6,23,7,32,2
2.3.1.179,1704,9416,3889,4206,7773,9153,3505,3756,2375,2530,5205,4286,3845,711,4032,6746
2.3.1.18,31,223,204,132,6,59,9,78,153,67,438,243,351,3,63,124
2.3.1.180,386,1554,729,1450,990,1251,315,712,572,1770,1266,391,1764,701,693,1429
2.3.1.181,46,384,57,135,238,124,45,49,30,88,98,20,129,38,54,213
2.3.1.182,93,1193,43,69,1437,153,71,120,58,65,153,38,80,188,409,1335
2.3.1.183,4,5,5,1,1,49,0,0,4,108,115,34,7,17,211,18
2.3.1.19,183,3984,610,898,63,2539,144,119,184,499,1334,404,2970,207,109,482
2.3.1.197,6,4,179,0,15,13,2,0,0,0,1,1,0,0,0,6
2.3.1.201,41,280,33,27,14,731,17,87,1,12,16,120,68,0,3,5
2.3.1.222,98,69,73,132,9,12,35,34,26,18,65,57,16,1,80,50
2.3.1.223,1,8,9,5,3,0,1,4,1,0,0,2,0,5,3,1
2.3.1.28,6,29,31,12,17,39,19,20,9,33,26,14,15,8,4,14
2.3.1.29,2756,7567,4337,5365,1868,4647,3975,2564,3598,1652,5028,3397,3276,978,3754,5407
2.3.1.30,417,750,956,1396,1054,309,907,778,649,371,609,413,23512,58332,11012,523
2.3.1.31,1,5,6,56,6,2,8,6,1,25,48,14,1,11,3,36
2.3.1.35,1527,1560,1313,1787,746,667,965,860,3679,1513,1714,1277,477,141,610,914
2.3.1.39,343,2231,579,1577,2588,3110,1126,2689,181,837,1071,498,1823,474,367,698
2.3.1.40,0,0,0,0,0,0,0,0,99,29,947,0,0,1,13,340
2.3.1.41,4,91,22,151,11,20,160,10,11,85,107,19,11,19,4,24
2.3.1.46,233,398,719,503,264,421,465,2012,883,987,689,1591,254,67,465,1836
2.3.1.47,266,1745,449,821,323,1900,690,401,336,967,1393,537,1767,356,452,1183
2.3.1.51,36,21,58,76,5,32,39,6,46,203,231,42,37,27,9,218
2.3.1.54,10224,18011,20887,24118,22964,35591,51760,38652,14209,13636,36127,24120,25668,65563,24079,26320
2.3.1.57,0,0,18,25,0,0,0,0,0,0,0,0,0,0,15,0
2.3.1.61,0,79,0,0,0,25,23,7,0,0,0,0,0,0,0,0
2.3.1.79,0,27,26,53,0,0,36,0,10,102,23,51,51,16,9,143
2.3.1.8,2228,3254,4146,4160,2485,2251,10967,7832,4405,2622,8511,7126,17103,49754,12781,3052
2.3.1.86,0,0,0,0,11,2,45,8,0,0,0,0,4,13,0,1
2.3.1.89,135,133,152,332,2375,68,277,452,261,32,233,191,522,90853,156,257
2.3.1.9,7947,10908,14268,14739,11293,10347,22390,17708,8536,3412,8119,11495,5567,10763,22090,13467
2.3.1.n2,1268,5034,1863,2221,593,3493,1678,2258,1209,2720,3117,1413,3994,274,1616,2507
2.3.1.n3,109,182,75,139,72,199,71,50,129,149,81,99,21,8,91,1006
2.3.2.2,176,440,172,38,5,8,58,20,155,17,4,405,163,1,85,97
2.3.2.3,0,2,11,4,0,25,4,0,3,1,4,6,0,0,2,0
2.3.2.6,0,0,0,5,0,1,0,0,3,6,12,3,1,0,1,1
2.3.3.-,9,39,26,7,0,11,20,18,49,163,175,38,117,8,41,14
2.3.3.1,3834,5289,8899,10075,1771,4839,6694,7980,4141,10659,12469,3806,3573,1746,4574,7918
2.3.3.13,792,1577,2146,2355,14537,2047,1781,3220,826,818,5674,1083,1068,24182,4186,10573
2.3.3.14,6,1,11,1,4,17,0,14,9,1,19,9,1,0,7,51
2.3.3.15,86,122,105,192,220,623,155,681,4007,9848,10280,4724,7235,1268,565,224
2.3.3.5,1,43,41,79,15,9,14,34,42,9,66,32,1,2,34,59
2.4.-.-,883,3380,3433,3135,3923,2856,6521,3918,2050,1502,4728,2784,2070,554,4179,6359
2.4.1.-,3377,7799,3148,8518,37012,14711,41164,17761,3567,1743,5844,6364,4549,1931,4624,2296
2.4.1.1,6247,18948,23113,14429,21709,44684,35078,30065,7218,11600,30790,15590,54851,68039,18576,18999
2.4.1.11,87,249,55,176,537,222,83,120,30,124,269,68,79,35,84,72
