"","super_pathway","pathway_name","ECs","num_ECs","num_exp_ECs","num_sig_ECs","pvalues_exp","padj_exp","pvalues_sig","padj_sig"
"ec00260","Amino acid metabolism","Glycine, serine and threonine metabolism","1.1.1.1,1.1.1.103,1.1.1.29,1.1.1.3,1.1.1.75,1.1.1.81,1.1.1.95,1.1.3.17,1.1.99.1,1.14.15.7,1.2.1.11,1.2.1.8,1.4.2.1,1.4.3.21,1.4.3.3,1.4.3.4,1.4.4.2,1.5.3.1,1.5.8.3,1.5.8.4,1.8.1.4,2.1.1.2,2.1.1.20,2.1.1.5,2.1.2.1,2.1.2.10,2.1.4.1,2.3.1.178,2.3.1.29,2.3.1.37,2.6.1.4,2.6.1.44,2.6.1.45,2.6.1.51,2.6.1.52,2.6.1.76,2.7.1.165,2.7.1.31,2.7.1.39,2.7.2.4,2.7.3.5,2.7.8.8,3.1.3.3,3.1.3.38,3.5.3.3,4.1.1.86,4.1.2.5,4.2.1.108,4.2.1.20,4.2.1.22,4.2.3.1,4.3.1.17,4.3.1.18,4.3.1.19,4.4.1.1,5.1.1.10,5.1.1.18,5.4.2.11,5.4.2.12",59,31,2,0.0637879501784657,0.456083843776029,0.956125828117007,1
"ec00270","Amino acid metabolism","Cysteine and methionine metabolism","1.1.1.27,1.1.1.3,1.1.1.310,1.1.1.338,1.1.1.37,1.13.11.20,1.13.11.53,1.13.11.54,1.14.17.4,1.2.1.11,1.4.3.2,1.8.1.10,1.8.1.6,1.8.4.1,1.8.4.13,1.8.4.14,1.8.4.3,1.8.4.4,2.1.1.10,2.1.1.13,2.1.1.14,2.1.1.37,2.1.1.5,2.3.1.30,2.3.1.31,2.3.1.46,2.4.2.28,2.5.1.16,2.5.1.22,2.5.1.47,2.5.1.48,2.5.1.49,2.5.1.6,2.5.1.65,2.6.1.1,2.6.1.3,2.6.1.5,2.6.1.57,2.7.1.100,2.7.2.4,2.8.1.2,3.1.3.77,3.1.3.87,3.2.2.16,3.2.2.9,3.3.1.1,3.4.13.12,3.5.1.31,4.1.1.12,4.1.1.50,4.2.1.109,4.2.1.22,4.3.1.17,4.4.1.1,4.4.1.10,4.4.1.11,4.4.1.14,4.4.1.15,4.4.1.21,4.4.1.24,4.4.1.25,4.4.1.8,5.1.1.10,5.3.1.23,5.3.2.5",65,31,4,0.205826360214891,0.926094605924806,0.691430828791686,1
"ec00280","Amino acid metabolism","Valine, leucine and isoleucine degradation","1.1.1.178,1.1.1.31,1.1.1.35,1.2.1.27,1.2.1.3,1.2.3.1,1.2.4.4,1.2.7.7,1.3.8.1,1.3.8.4,1.3.8.7,1.3.99.12,1.4.1.23,1.4.1.9,1.4.3.2,1.8.1.4,2.3.1.16,2.3.1.168,2.3.1.9,2.3.3.10,2.6.1.18,2.6.1.22,2.6.1.42,2.6.1.6,2.8.3.5,3.1.2.17,3.1.2.4,4.1.3.4,4.2.1.17,4.2.1.18,5.1.99.1,5.4.99.2,6.2.1.16,6.4.1.3,6.4.1.4",35,17,1,0.264640795338079,1,0.934391092403772,1
"ec00290","Amino acid metabolism","Valine, leucine and isoleucine biosynthesis","1.1.1.85,1.1.1.86,1.4.1.9,2.2.1.6,2.3.1.182,2.3.3.13,2.6.1.42,2.6.1.6,2.6.1.66,4.2.1.33,4.2.1.35,4.2.1.9,4.3.1.19,5.4.99.3",14,9,1,0.0780156489026221,0.497139924752463,0.762351920055278,1
"ec00300","Amino acid metabolism","Lysine biosynthesis","1.1.1.286,1.1.1.3,1.1.1.87,1.17.1.8,1.2.1.11,1.2.1.31,1.4.1.16,1.5.1.10,1.5.1.7,2.3.1.117,2.3.1.89,2.3.3.14,2.6.1.17,2.6.1.39,2.6.1.57,2.6.1.83,2.7.2.4,3.5.1.18,3.5.1.47,4.1.1.20,4.2.1.114,4.2.1.36,4.3.3.7,5.1.1.7,5.4.99.58,6.3.2.10,6.3.2.13",27,19,5,0.00257944674875013,0.0537243254885026,0.134102597381443,1
"ec00310","Amino acid metabolism","Lysine degradation","1.1.1.35,1.13.12.2,1.14.11.1,1.14.11.4,1.14.11.8,1.14.13.59,1.2.1.20,1.2.1.3,1.2.1.31,1.2.1.47,1.2.4.2,1.3.8.6,1.4.1.11,1.4.1.12,1.4.3.14,1.5.1.1,1.5.1.10,1.5.1.16,1.5.1.21,1.5.1.7,1.5.1.8,1.5.1.9,1.5.3.7,1.5.99.3,2.1.1.43,2.1.1.59,2.1.1.60,2.3.1.102,2.3.1.32,2.3.1.61,2.3.1.9,2.4.1.50,2.6.1.21,2.6.1.39,2.6.1.48,2.6.1.65,2.7.1.81,2.8.3.9,3.5.1.17,3.5.1.30,3.5.1.63,4.1.1.18,4.2.1.17,4.2.3.134,4.3.1.14,5.1.1.5,5.1.1.9,5.4.3.2,5.4.3.3,5.4.3.4,6.2.1.6,6.3.2.38,6.3.2.39",53,16,2,0.972684045530814,1,0.707049782195728,1
"ec00330","Amino acid metabolism","Arginine and proline metabolism","1.1.1.104,1.13.12.1,1.14.11.2,1.14.13.39,1.2.1.19,1.2.1.3,1.2.1.38,1.2.1.41,1.2.1.54,1.2.1.71,1.2.1.88,1.21.4.1,1.4.1.12,1.4.1.2,1.4.1.3,1.4.1.4,1.4.3.10,1.4.3.22,1.4.3.3,1.4.3.4,1.5.1.1,1.5.1.11,1.5.1.19,1.5.1.2,1.5.1.43,1.5.3.14,1.5.3.16,1.5.3.17,1.5.5.2,1.5.99.13,1.5.99.6,2.1.1.2,2.1.3.11,2.1.3.3,2.1.3.9,2.1.4.1,2.3.1.1,2.3.1.109,2.3.1.35,2.3.1.57,2.3.1.64,2.5.1.16,2.5.1.22,2.6.1.1,2.6.1.11,2.6.1.13,2.6.1.21,2.6.1.23,2.6.1.29,2.6.1.81,2.6.1.82,2.6.1.84,2.7.2.11,2.7.2.2,2.7.2.8,2.7.3.1,2.7.3.2,2.7.3.3,3.4.11.5,3.4.13.18,3.4.13.20,3.5.1.14,3.5.1.16,3.5.1.2,3.5.1.38,3.5.1.4,3.5.1.5,3.5.1.53,3.5.1.54,3.5.1.59,3.5.1.62,3.5.1.63,3.5.1.94,3.5.1.96,3.5.2.10,3.5.2.14,3.5.3.1,3.5.3.11,3.5.3.12,3.5.3.23,3.5.3.3,3.5.3.6,3.5.3.7,3.5.4.1,3.5.4.21,3.5.4.22,4.1.1.17,4.1.1.19,4.1.1.50,4.1.1.75,4.1.1.96,4.1.3.16,4.2.1.77,4.3.1.12,4.3.2.1,5.1.1.4,5.1.1.8,6.3.1.11,6.3.1.2,6.3.2.11,6.3.4.16,6.3.4.5,6.3.4.6",103,46,6,0.320487846616871,1,0.692170259616027,1
"ec00340","Amino acid metabolism","Histidine metabolism","1.1.1.23,1.14.13.5,1.2.1.3,1.2.1.5,1.3.99.33,1.4.3.22,1.4.3.4,2.1.1.22,2.1.1.8,2.1.2.5,2.4.2.17,2.6.1.38,2.6.1.9,3.1.3.15,3.4.13.18,3.4.13.20,3.4.13.5,3.5.1.15,3.5.1.68,3.5.1.8,3.5.2.7,3.5.3.13,3.5.3.5,3.5.3.8,3.5.4.19,3.6.1.31,4.1.1.22,4.1.1.28,4.2.1.19,4.2.1.49,4.3.1.3,5.3.1.16,6.3.2.11,6.3.4.8",34,16,3,0.330967392911892,1,0.425643617425348,1
"ec00350","Amino acid metabolism","Tyrosine metabolism","1.1.1.1,1.1.1.222,1.1.1.237,1.1.1.312,1.1.1.90,1.10.3.1,1.11.1.8,1.13.11.15,1.13.11.27,1.13.11.29,1.13.11.30,1.13.11.4,1.13.11.5,1.14.12.9,1.14.13.18,1.14.14.9,1.14.16.2,1.14.17.1,1.14.18.1,1.2.1.16,1.2.1.29,1.2.1.5,1.2.1.53,1.2.1.60,1.2.3.1,1.2.3.13,1.4.1.20,1.4.3.2,1.4.3.21,1.4.3.4,1.4.9.2,2.1.1.27,2.1.1.28,2.1.1.6,2.3.1.14,2.3.1.140,2.6.1.1,2.6.1.49,2.6.1.5,2.6.1.57,2.6.1.58,2.6.1.9,3.7.1.2,3.7.1.20,3.7.1.5,4.1.1.25,4.1.1.28,4.1.1.62,4.1.1.68,4.1.1.80,4.1.2.52,4.1.99.2,4.3.1.22,4.3.1.23,5.2.1.2,5.2.1.4,5.3.2.1,5.3.3.10,5.3.3.12,5.4.3.6",60,8,1,0.999999747126107,1,0.721051913928963,1
"ec00360","Amino acid metabolism","Phenylalanine metabolism","1.1.1.157,1.1.1.222,1.1.1.237,1.1.1.90,1.11.1.21,1.11.1.7,1.13.11.16,1.13.11.27,1.13.12.9,1.14.12.19,1.14.13.11,1.14.13.127,1.14.13.14,1.14.13.149,1.14.13.4,1.14.16.1,1.17.1.7,1.17.5.1,1.2.1.10,1.2.1.39,1.2.1.5,1.2.1.58,1.3.1.11,1.3.1.31,1.3.1.87,1.4.1.20,1.4.3.2,1.4.3.21,1.4.3.4,1.4.9.2,1.4.99.1,1.5.1.18,2.1.1.104,2.3.1.13,2.3.1.14,2.3.1.192,2.3.1.36,2.3.1.53,2.3.1.71,2.6.1.1,2.6.1.21,2.6.1.5,2.6.1.57,2.6.1.58,2.6.1.9,3.1.2.25,3.3.2.12,3.5.1.32,3.5.1.4,3.7.1.14,4.1.1.28,4.1.1.43,4.1.1.53,4.1.2.41,4.1.3.39,4.2.1.101,4.2.1.17,4.2.1.80,4.3.1.24,4.3.1.25,5.1.1.11,5.3.2.1,5.3.3.18,6.2.1.12,6.2.1.30",65,11,3,0.999996765412969,1,0.211729264896206,1
