"enzyme","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","KO1","KO2","KO3","KO4","WT1","WT2","WT3","WT4"
"2.3.3.15",3756.80980532021,5.92576150488733,0.504563978327754,11.7443213535114,7.55263566597125e-32,8.6175572948732e-29,145.402147724381,77.5425186370622,92.6213187920089,171.805032396192,5464.6105049568,13254.8710156278,6544.76211683913,4302.86378758835
"3.1.1.87",350.654551545607,-11.8734442981886,1.19104936188425,-9.96889354728731,2.08538981955282e-23,1.0386673405102e-20,1022.88720201454,518.645042687236,357.253658197748,906.450509465327,0,0,0,0
"4.2.1.115",113610.470057577,9.34269801790057,0.939713619234975,9.94206939929901,2.73093954560088e-23,1.0386673405102e-20,52.4124020866955,31.1441263378364,808.010742985525,505.572100540878,307016.465015696,351434.438607485,60851.0080863311,188184.709379152
"2.7.8.14",180.51431466971,8.04924933580568,0.813576695181997,9.8936577012018,4.4352014732969e-23,1.26514122025794e-20,0,0.635594415057887,0.882107798019132,3.579271508254,407.766044667353,472.426860934744,233.650554171202,325.174083863049
"1.1.1.28",332.930227397198,-11.79864050272,1.28864443405127,-9.15585416034981,5.39294601576569e-20,1.23067028079773e-17,1115.87694765223,365.466788658285,990.607057175485,191.491025691589,0,0,0,0
"2.6.1.39",495.104461754295,-10.5762750009932,1.18160614726937,-8.95076166067216,3.53037883738473e-19,6.71360375575997e-17,2177.6507705698,549.153574610014,872.404612240921,359.716786579527,0,0,1.90995003409702,0
"1.11.1.9",491.048496426796,12.4414881860563,1.46569637596607,8.48844848774081,2.09414022051578e-17,3.41344855944073e-15,0,0,0,0,673.700421624322,2728.23147326133,439.925157853681,86.530918675041
"1.8.98.1",1570.71994128781,-3.68925631695088,0.445680270927192,-8.27780935708856,1.25461872645104e-16,1.78939995860079e-14,3763.54861435433,1920.13072788988,3726.90544663083,2253.1514144459,144.559199781737,177.66480240281,339.334456057904,240.464868739061
"4.2.1.54",670.274723290834,-10.6844771783446,1.31076027877473,-8.15135868194922,3.59858034531738e-16,4.56220019334126e-14,2928.33162626312,212.288534629334,2071.18910974892,146.750131838414,2.72753207135353,0,0,0.910851775526747
"3.13.1.1",186.973877801644,10.3265720190403,1.28398011741059,8.04262611158333,8.79333144789731e-16,1.00331911820508e-13,1.69072264795792,0,0,0,92.73609042602,292.070167586437,450.748208046897,658.545833705838
"1.9.3.1",96.7023972005201,10.0995206897706,1.27033206112426,7.95029976715881,1.86060742097514e-15,1.92995733393876e-13,0,0,0,0,98.1911545687271,126.518874438364,347.610906205658,201.298242391411
"2.6.1.77",1119.10565828283,-5.37858802966779,0.683292266518832,-7.87157749797181,3.50197102161368e-15,3.32979077971768e-13,2652.74383464598,2033.90212818524,1212.01611447829,2842.83639543074,34.0941508919191,129.210765383861,34.3791006137464,13.6627766329012
"3.1.26.12",109.999228126001,4.36447272936671,0.598830027436677,7.28833313193906,3.13813251167095e-13,2.75431476601273e-11,20.2886717754951,6.35594415057887,7.93897018217219,8.05336089357151,145.922965817414,329.756640823396,198.63480354609,163.042467819288
"6.3.5.-",1041.06170825461,3.23597774962795,0.464663794110917,6.96412716170331,3.30446033819014e-12,2.69313517562497e-10,231.629002770235,127.118883011577,225.819596292898,215.651108372304,860.536368512039,1901.82095299371,2037.91668638152,2728.00106770261
"1.12.2.1",851.790810507674,5.00256934385682,0.756189834725898,6.61549403883503,3.70312909216697e-11,2.81684686277501e-09,47.3402341428218,42.5848258088784,8.82107798019132,107.37814524762,861.900134547715,2909.93411208238,2161.42678858646,674.941165665319
"2.1.1.107",123.010620377623,-4.89043164775143,0.744540111656084,-6.56839244949962,5.08613479248629e-11,3.62704987389179e-09,160.618651556002,178.602030631266,157.015188047405,456.357117302386,1.36376603567676,6.72972736374279,7.00315012502242,16.3953319594814
"3.4.22.16",404.121449408896,6.1001223916986,0.939547197209762,6.49261943393004,8.43565939749338e-11,5.66181610149409e-09,8.4536132397896,5.72034973552098,0,32.213443574286,1348.76460928432,651.437608810302,798.359114252555,388.022856374394
"1.2.5.1",93.4592220665048,-9.96742542097074,1.56842059939736,-6.35507173573246,2.08329377215856e-10,1.25107273370153e-08,133.567089188676,549.153574610014,25.5811261425548,39.3719865907941,0,0,0,0
"4.2.2.23",41.2398611695537,5.98308123240109,0.94146340871361,6.35508632308526,2.08309608223726e-10,1.25107273370153e-08,0,1.90678324517366,0.882107798019132,1.789635754127,38.1854489989494,113.059419710879,101.227351807142,72.8681420421398
"3.4.24.64",71.1862815596047,-8.84798742115409,1.4039510598973,-6.30220502258912,2.93440647059418e-10,1.67407889147398e-08,235.010448066151,250.424199532807,35.2843119207653,47.4253474843656,0,1.34594547274856,0,0
"2.7.1.52",538.026054659048,5.01712837571716,0.812627361416346,6.1739594479968,6.6600630043552e-10,3.61863423236632e-08,28.7422850152847,62.2882526756729,13.231616970287,24.1600826807145,1175.56632275337,2292.14514009079,565.981860104084,142.092876982173
